epoch:116 train_loss:0.013637027703225613 test_acc:0.5149111068629325 test_loss:0.043588604778051376
epoch:117 train_loss:0.01547672413289547 test_acc:0.5009558401835214 test_loss:0.058288972824811935
epoch:118 train_loss:0.018186895176768303 test_acc:0.496367807302619 test_loss:0.02595583349466324
epoch:119 train_loss:0.021110963076353073 test_acc:0.5163448671382145 test_loss:0.044902585446834564
epoch:120 train_loss:0.012748206965625286 test_acc:0.5366086790288663 test_loss:0.02640659362077713
epoch:121 train_loss:0.015574279241263866 test_acc:0.5060217931561843 test_loss:0.04079436883330345
epoch:122 train_loss:0.01648775301873684 test_acc:0.5367998470655706 test_loss:0.04250611737370491
epoch:123 train_loss:0.010253122076392174 test_acc:0.518160963486905 test_loss:0.07101229578256607
epoch:124 train_loss:0.017031649127602577 test_acc:0.5665264767730835 test_loss:0.04053729772567749
epoch:125 train_loss:0.015885107219219208 test_acc:0.549416937488052 test_loss:0.04161151498556137
epoch:126 train_loss:0.014997430145740509 test_acc:0.5255209329000191 test_loss:0.029865123331546783
epoch:127 train_loss:0.019111957401037216 test_acc:0.5270502771936533 test_loss:0.055003173649311066
epoch:128 train_loss:0.0173471849411726 test_acc:0.5367042630472185 test_loss:0.019329914823174477
epoch:129 train_loss:0.01826026663184166 test_acc:0.5709233416172816 test_loss:0.037792544811964035
epoch:130 train_loss:0.009989619255065918 test_acc:0.5790479831772127 test_loss:0.041312262415885925
epoch:131 train_loss:0.017988167703151703 test_acc:0.558115083158096 test_loss:0.10553788393735886
epoch:132 train_loss:0.01276589184999466 test_acc:0.5593576753966737 test_loss:0.05457918718457222
epoch:133 train_loss:0.015470537357032299 test_acc:0.5547696425157713 test_loss:0.04800552874803543
epoch:134 train_loss:0.013903394341468811 test_acc:0.5388071114509654 test_loss:0.06360462307929993
epoch:135 train_loss:0.01596127822995186 test_acc:0.545020072643854 test_loss:0.15202878415584564
epoch:136 train_loss:0.011917473748326302 test_acc:0.5918562416363984 test_loss:0.05862909555435181
epoch:137 train_loss:0.011717176996171474 test_acc:0.5890843051041866 test_loss:0.05222424492239952
epoch:138 train_loss:0.01158679835498333 test_acc:0.5780921429936915 test_loss:0.03738950937986374
epoch:139 train_loss:0.0172968041151762 test_acc:0.5933855859300325 test_loss:0.0536840446293354
epoch:140 train_loss:0.010849511250853539 test_acc:0.594437010131906 test_loss:0.06166017800569534
epoch:141 train_loss:0.010769209824502468 test_acc:0.5926209137832155 test_loss:0.06958653777837753
epoch:142 train_loss:0.0077514322474598885 test_acc:0.5981647868476391 test_loss:0.06270226091146469
epoch:143 train_loss:0.017006684094667435 test_acc:0.59596635442554 test_loss:0.05783891677856445
epoch:144 train_loss:0.014387249015271664 test_acc:0.6235901357293061 test_loss:0.08570883423089981
epoch:145 train_loss:0.010248253121972084 test_acc:0.5967310265723571 test_loss:0.03575875982642174
epoch:146 train_loss:0.011201228015124798 test_acc:0.5968266105907092 test_loss:0.04756291210651398
epoch:147 train_loss:0.01915428601205349 test_acc:0.6260753202064615 test_loss:0.05838855728507042
epoch:148 train_loss:0.01576853170990944 test_acc:0.6129803096922195 test_loss:0.06422535330057144
epoch:149 train_loss:0.008068989962339401 test_acc:0.5918562416363984 test_loss:0.04487793892621994
epoch:150 train_loss:0.014965805225074291 test_acc:0.6405085069776333 test_loss:0.08038777858018875
epoch:151 train_loss:0.010191425681114197 test_acc:0.6235901357293061 test_loss:0.026739617809653282
epoch:152 train_loss:0.009612358175218105 test_acc:0.6493022366660295 test_loss:0.07124117761850357
epoch:153 train_loss:0.01637076400220394 test_acc:0.6196711909768686 test_loss:0.037276070564985275
