epoch:0 train_loss:0.0809202641248703 test_acc:0.0013381762569298413 test_loss:0.16462098062038422
epoch:1 train_loss:0.07321825623512268 test_acc:0.010896578092142993 test_loss:0.10399380326271057
epoch:2 train_loss:0.0729207843542099 test_acc:0.034027910533358824 test_loss:0.14045527577400208
epoch:3 train_loss:0.059590768069028854 test_acc:0.09176065761804626 test_loss:0.0935288518667221
epoch:4 train_loss:0.05097556114196777 test_acc:0.07474670235136685 test_loss:0.07977598160505295
epoch:5 train_loss:0.04802617430686951 test_acc:0.18935194035557254 test_loss:0.114310123026371
epoch:6 train_loss:0.04804208502173424 test_acc:0.17530108965780922 test_loss:0.08439189940690994
epoch:7 train_loss:0.045993369072675705 test_acc:0.2913400879372969 test_loss:0.09638310968875885
epoch:8 train_loss:0.038053568452596664 test_acc:0.33855859300324986 test_loss:0.039187781512737274
epoch:9 train_loss:0.03495281562209129 test_acc:0.34935958707704073 test_loss:0.07870499044656754
epoch:10 train_loss:0.03626834601163864 test_acc:0.33903651309501054 test_loss:0.10137295722961426
epoch:11 train_loss:0.030141834169626236 test_acc:0.4452303574842286 test_loss:0.0812254399061203
epoch:12 train_loss:0.03790409117937088 test_acc:0.34916841904033646 test_loss:0.05340966209769249
epoch:13 train_loss:0.028774958103895187 test_acc:0.4504874784935959 test_loss:0.05687946081161499
epoch:14 train_loss:0.03248012438416481 test_acc:0.4696998661823743 test_loss:0.029547052457928658
epoch:15 train_loss:0.028923168778419495 test_acc:0.41225387115274326 test_loss:0.03508114442229271
epoch:16 train_loss:0.026138614863157272 test_acc:0.40040145287707896 test_loss:0.02621344104409218
epoch:17 train_loss:0.0209087785333395 test_acc:0.5070732173580578 test_loss:0.038751233369112015
epoch:18 train_loss:0.023301785811781883 test_acc:0.470942458420952 test_loss:0.04739169776439667
epoch:19 train_loss:0.024960046634078026 test_acc:0.4493404702733703 test_loss:0.03353988379240036
epoch:20 train_loss:0.020878758281469345 test_acc:0.5271458612120054 test_loss:0.05419109761714935
epoch:21 train_loss:0.018269216641783714 test_acc:0.4487669661632575 test_loss:0.036822617053985596
epoch:22 train_loss:0.01937921717762947 test_acc:0.49177977442171666 test_loss:0.02271883375942707
epoch:23 train_loss:0.016403499990701675 test_acc:0.5830625119480023 test_loss:0.036510661244392395
epoch:24 train_loss:0.022111942991614342 test_acc:0.6413687631428026 test_loss:0.008745594881474972
epoch:25 train_loss:0.024513468146324158 test_acc:0.6065761804626266 test_loss:0.02932903543114662
epoch:26 train_loss:0.020338408648967743 test_acc:0.5189256356337221 test_loss:0.035640306770801544
epoch:27 train_loss:0.019800879061222076 test_acc:0.5962531064805965 test_loss:0.02854069508612156
epoch:28 train_loss:0.016668027266860008 test_acc:0.6309501051424202 test_loss:0.057483818382024765
epoch:29 train_loss:0.022588234394788742 test_acc:0.6297075129038425 test_loss:0.01963302120566368
epoch:30 train_loss:0.014026155695319176 test_acc:0.617663926591474 test_loss:0.012785297818481922
epoch:31 train_loss:0.019750133156776428 test_acc:0.5952016822787229 test_loss:0.02928651124238968
epoch:32 train_loss:0.017572201788425446 test_acc:0.6862932517683044 test_loss:0.03212590143084526
epoch:33 train_loss:0.01789766550064087 test_acc:0.6801758745937679 test_loss:0.010482349433004856
epoch:34 train_loss:0.01271083764731884 test_acc:0.6755878417128656 test_loss:0.01632048189640045
epoch:35 train_loss:0.013224641792476177 test_acc:0.6338176256929842 test_loss:0.0536310039460659
epoch:36 train_loss:0.013657242059707642 test_acc:0.6731982412540624 test_loss:0.005820265971124172
epoch:37 train_loss:0.023174388334155083 test_acc:0.6733894092907666 test_loss:0.008497004397213459
epoch:38 train_loss:0.017317330464720726 test_acc:0.7246224431275091 test_loss:0.0163815226405859
epoch:39 train_loss:0.018351033329963684 test_acc:0.6441406996750143 test_loss:0.012722534127533436
epoch:40 train_loss:0.008859748020768166 test_acc:0.6717644809787804 test_loss:0.019548902288079262
